date,hour,temperature_c
2025-12-11,0,17.666666666666668
2025-12-11,1,17.066666666666666
2025-12-11,2,16.766666666666666
2025-12-11,3,16.466666666666665
2025-12-11,4,16.233333333333334
2025-12-11,5,15.9
2025-12-11,6,15.733333333333334
2025-12-11,7,16.633333333333333
2025-12-11,8,19.866666666666667
2025-12-11,9,22.96666666666667
2025-12-11,10,25.166666666666668
2025-12-11,11,26.76666666666667
2025-12-11,12,27.96666666666667
2025-12-11,13,28.599999999999998
2025-12-11,14,28.766666666666666
2025-12-11,15,28.333333333333332
2025-12-11,16,27.53333333333333
2025-12-11,17,25.133333333333336
2025-12-11,18,22.733333333333334
2025-12-11,19,21.133333333333333
2025-12-11,20,20.033333333333335
2025-12-11,21,19.266666666666666
2025-12-11,22,18.53333333333333
2025-12-11,23,17.73333333333333
2025-12-12,0,16.9
2025-12-12,1,16.233333333333334
2025-12-12,2,15.733333333333334
2025-12-12,3,15.366666666666665
2025-12-12,4,15.066666666666668
2025-12-12,5,14.799999999999999
2025-12-12,6,14.633333333333333
2025-12-12,7,15.799999999999999
2025-12-12,8,19.133333333333333
2025-12-12,9,22.766666666666666
2025-12-12,10,25.2
2025-12-12,11,26.599999999999998
2025-12-12,12,27.8
2025-12-12,13,28.566666666666666
2025-12-12,14,28.833333333333332
2025-12-12,15,28.46666666666667
2025-12-12,16,27.5
2025-12-12,17,25.3
2025-12-12,18,23.066666666666666
2025-12-12,19,21.566666666666666
2025-12-12,20,20.5
2025-12-12,21,19.666666666666668
2025-12-12,22,18.933333333333334
2025-12-12,23,18.233333333333334
2025-12-13,0,17.533333333333335
2025-12-13,1,16.8
2025-12-13,2,16.166666666666668
2025-12-13,3,15.6
2025-12-13,4,15.1
2025-12-13,5,14.733333333333334
2025-12-13,6,14.466666666666667
2025-12-13,7,15.700000000000001
2025-12-13,8,19.400000000000002
2025-12-13,9,23.133333333333336
2025-12-13,10,25.3
2025-12-13,11,26.96666666666667
2025-12-13,12,28.166666666666668
2025-12-13,13,28.933333333333334
2025-12-13,14,29.3
2025-12-13,15,29.03333333333333
2025-12-13,16,28.266666666666666
2025-12-13,17,26.066666666666666
2025-12-13,18,23.866666666666664
2025-12-13,19,22.3
2025-12-13,20,20.900000000000002
2025-12-13,21,20.099999999999998
2025-12-13,22,19.533333333333335
2025-12-13,23,18.900000000000002
2025-12-14,0,18.233333333333334
2025-12-14,1,17.7
2025-12-14,2,17.2
2025-12-14,3,16.633333333333333
2025-12-14,4,16.133333333333333
2025-12-14,5,15.700000000000001
2025-12-14,6,15.366666666666665
2025-12-14,7,16.533333333333335
2025-12-14,8,20.133333333333336
2025-12-14,9,23.5
2025-12-14,10,25.53333333333333
2025-12-14,11,27.0
2025-12-14,12,28.166666666666668
2025-12-14,13,28.833333333333332
2025-12-14,14,29.066666666666666
2025-12-14,15,28.7
2025-12-14,16,27.733333333333334
2025-12-14,17,26.366666666666664
2025-12-14,18,24.599999999999998
2025-12-14,19,22.633333333333336
2025-12-14,20,21.099999999999998
2025-12-14,21,20.166666666666668
2025-12-14,22,19.633333333333336
2025-12-14,23,19.133333333333333
2025-12-15,0,18.633333333333336
2025-12-15,1,18.066666666666666
2025-12-15,2,17.533333333333335
2025-12-15,3,16.900000000000002
2025-12-15,4,16.333333333333332
2025-12-15,5,16.333333333333332
2025-12-15,6,17.133333333333336
2025-12-15,7,18.599999999999998
2025-12-15,8,20.466666666666665
2025-12-15,9,22.766666666666666
2025-12-15,10,25.2
2025-12-15,11,27.099999999999998
2025-12-15,12,28.3
2025-12-15,13,29.0
2025-12-15,14,29.2
2025-12-15,15,28.766666666666666
2025-12-15,16,27.733333333333334
2025-12-15,17,26.099999999999998
2025-12-15,18,24.0
2025-12-15,19,21.900000000000002
2025-12-15,20,20.46666666666667
2025-12-15,21,19.8
2025-12-15,22,19.466666666666665
2025-12-15,23,19.033333333333335
2025-12-16,0,18.5
2025-12-16,1,17.966666666666665
2025-12-16,2,17.5
2025-12-16,3,16.866666666666667
2025-12-16,4,16.333333333333332
2025-12-16,5,16.333333333333332
2025-12-16,6,17.166666666666668
2025-12-16,7,18.566666666666666
2025-12-16,8,20.366666666666667
2025-12-16,9,22.566666666666666
2025-12-16,10,24.933333333333334
2025-12-16,11,26.933333333333334
2025-12-16,12,28.333333333333332
2025-12-16,13,29.2
2025-12-16,14,29.433333333333334
2025-12-16,15,28.96666666666667
2025-12-16,16,27.866666666666664
2025-12-16,17,26.3
2025-12-16,18,24.3
2025-12-16,19,22.233333333333334
2025-12-16,20,20.7
2025-12-16,21,19.833333333333332
2025-12-16,22,19.333333333333332
2025-12-16,23,18.8
2025-12-17,0,18.233333333333334
2025-12-17,1,17.733333333333334
2025-12-17,2,17.233333333333334
2025-12-17,3,16.633333333333333
2025-12-17,4,16.066666666666666
2025-12-17,5,16.066666666666666
2025-12-17,6,16.833333333333332
2025-12-17,7,18.2
2025-12-17,8,20.066666666666666
2025-12-17,9,22.5
2025-12-17,10,25.233333333333334
2025-12-17,11,27.366666666666664
2025-12-17,12,28.766666666666666
2025-12-17,13,29.566666666666663
2025-12-17,14,29.8
2025-12-17,15,29.333333333333332
2025-12-17,16,28.233333333333334
2025-12-17,17,26.733333333333334
2025-12-17,18,24.766666666666666
2025-12-17,19,22.7
2025-12-17,20,21.133333333333333
2025-12-17,21,20.3
2025-12-17,22,19.833333333333332
2025-12-17,23,19.333333333333332
